[*] 25/04/2026 12:06:30 - Starting HardeningKitty
[*] 25/04/2026 12:06:30 - Getting machine information
[*] Hostname: WIN-1C36PIUNOJK
[*] Domain: WORKGROUP
[*] Domain role: StandaloneServer
[*] Install date: 04/16/2026 14:48:06
[*] Last Boot Time: 04/25/2026 09:53:35
[*] Uptime: 02:12:55.0286583
[*] Windows: Microsoft Windows Server 2019 Standard
[*] Windows edition: ServerStandard
[*] Windows version: 1809
[*] Windows build: 17763.1.amd64fre.rs5_release.180914-1434
[*] System-locale: fr-FR
[*] Powershell Version: 5.1
[*] 25/04/2026 12:06:35 - Language warning
[?] 25/04/2026 12:06:35 - HardeningKitty was developed for the system language 'en-US'. This system uses 'fr-FR' Language-dependent analyses can sometimes produce false results. Please create an issue if this occurs.
[*] 25/04/2026 12:06:35 - Getting user information
[*] Username: WIN-1C36PIUNOJK\ansible
[*] Is Admin: True
[*] 25/04/2026 12:06:35 - Starting Category Account Policies
ID 1.1.1, Length of password history maintained, 24, Account policy set
ID 18.9.77.13.1.2.3.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 5beb7efe-fd9a-4556-801d-275e5ffc04cc, Registry value created/modified
ID 18.9.77.13.1.2.3.2, ASR: Block execution of potentially obfuscated scripts, 5beb7efe-fd9a-4556-801d-275e5ffc04cc, ASR rule added to list
ID 18.9.77.13.1.2.4.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84, Registry value created/modified
ID 18.9.77.13.1.2.4.2, ASR: Block Office applications from injecting code into other processes, 75668c1f-73b5-4cf0-bb93-3ecf5cb7cc84, ASR rule added to list
ID 18.9.77.13.1.2.5.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c, Registry value created/modified
ID 18.9.77.13.1.2.5.2, ASR: Block Adobe Reader from creating child processes, 7674ba52-37eb-4a4f-a9a1-f0f9a1619a2c, ASR rule added to list
ID 18.9.77.13.1.2.6.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b, Registry value created/modified
ID 18.9.77.13.1.2.6.2, ASR: Block Win32 API calls from Office macros, 92e97fa1-2edf-4476-bdd6-9dd0b4dddc7b, ASR rule added to list
ID 18.9.77.13.1.2.7.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2, Registry value created/modified
ID 18.9.77.13.1.2.7.2, ASR: Block credential stealing from the Windows local security authority subsystem (lsass.exe), 9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2, ASR rule added to list
ID 18.9.77.13.1.2.8.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4, Registry value created/modified
ID 18.9.77.13.1.2.8.2, ASR: Block untrusted and unsigned processes that run from USB, b2b3f03d-6a65-4f7b-a9c7-1c7ef74a9ba4, ASR rule added to list
ID 18.9.77.13.1.2.9.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, be9ba2d9-53ea-4cdc-84e5-9b1eeee46550, Registry value created/modified
ID 18.9.77.13.1.2.9.2, ASR: Block executable content from email client and webmail, be9ba2d9-53ea-4cdc-84e5-9b1eeee46550, ASR rule added to list
ID 18.9.77.13.1.2.10.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, d3e037e1-3eb8-44c8-a917-57927947596d, Registry value created/modified
ID 18.9.77.13.1.2.10.2, ASR: Block JavaScript or VBScript from launching downloaded executable content, d3e037e1-3eb8-44c8-a917-57927947596d, ASR rule added to list
ID 18.9.77.13.1.2.11.1, HKLM:\Software\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\rules, 26190899-1602-49e8-8b27-eb1d0a1ce869, Registry value created/modified
ID 18.9.77.13.1.2.11.2, ASR: Block Office communication application from creating child processes, 26190899-1602-49e8-8b27-eb1d0a1ce869, ASR rule added to list
ID 18.9.77.13.3.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection, EnableNetworkProtection, Registry key created
ID 18.9.77.13.3.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\Network Protection, EnableNetworkProtection, Registry value created/modified
[*] 25/04/2026 12:07:19 - Starting Category Microsoft Defender Antivirus
ID 18.9.77.14, HKLM:\Software\Policies\Microsoft\Windows Defender, PUAProtection, Registry value created/modified
ID 18.9.77.15, HKLM:\Software\Policies\Microsoft\Windows Defender, DisableAntiSpyware, Registry value created/modified
[*] 25/04/2026 12:07:19 - Starting Category Administrative Templates: Windows Components
ID 18.9.80.1.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, EnableSmartScreen, Registry value created/modified
ID 18.9.80.1.1.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\System, ShellSmartScreenLevel, Registry value created/modified
ID 18.9.84.1, HKLM:\Software\Policies\Microsoft\WindowsInkWorkspace, AllowSuggestedAppsInWindowsInkWorkspace, Registry key created
ID 18.9.84.1, HKLM:\Software\Policies\Microsoft\WindowsInkWorkspace, AllowSuggestedAppsInWindowsInkWorkspace, Registry value created/modified
ID 18.9.84.2, HKLM:\Software\Policies\Microsoft\WindowsInkWorkspace, AllowWindowsInkWorkspace, Registry value created/modified
ID 18.9.85.1, HKLM:\Software\Policies\Microsoft\Windows\Installer, EnableUserControl, Registry key created
ID 18.9.85.1, HKLM:\Software\Policies\Microsoft\Windows\Installer, EnableUserControl, Registry value created/modified
ID 18.9.85.2, HKLM:\Software\Policies\Microsoft\Windows\Installer, AlwaysInstallElevated, Registry value created/modified
ID 18.9.85.3, HKLM:\Software\Policies\Microsoft\Windows\Installer, SafeForScripting, Registry value created/modified
ID 18.9.86.1, HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System, DisableAutomaticRestartSignOn, Registry value created/modified
[*] 25/04/2026 12:07:19 - Starting Category PowerShell
ID 18.9.95.1, HKLM:\Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging, EnableScriptBlockLogging, Registry value created/modified
ID 18.9.95.2, HKLM:\Software\Policies\Microsoft\Windows\PowerShell\Transcription, EnableTranscripting, Registry key created
ID 18.9.95.2, HKLM:\Software\Policies\Microsoft\Windows\PowerShell\Transcription, EnableTranscripting, Registry value created/modified
[*] 25/04/2026 12:07:19 - Starting Category Administrative Templates: Windows Components
ID 18.9.97.1.1, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client, AllowBasic, Registry key created
ID 18.9.97.1.1, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client, AllowBasic, Registry value created/modified
ID 18.9.97.1.2, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client, AllowUnencryptedTraffic, Registry value created/modified
ID 18.9.97.1.3, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client, AllowDigest, Registry value created/modified
ID 18.9.97.2.1, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service, AllowBasic, Registry value created/modified
ID 18.9.97.2.2, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service, AllowAutoConfig, Registry value created/modified
ID 18.9.97.2.3, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service, AllowUnencryptedTraffic, Registry value created/modified
ID 18.9.97.2.4, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service, DisableRunAs, Registry value created/modified
ID 18.9.98.1, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service\WinRS, AllowRemoteShellAccess, Registry key created
ID 18.9.98.1, HKLM:\Software\Policies\Microsoft\Windows\WinRM\Service\WinRS, AllowRemoteShellAccess, Registry value created/modified
ID 18.9.99.2.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection, DisallowExploitProtectionOverride, Registry key created
ID 18.9.99.2.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender Security Center\App and Browser protection, DisallowExploitProtectionOverride, Registry value created/modified
ID 18.9.102.1.1.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate, ManagePreviewBuilds, Registry value created/modified
ID 18.9.102.1.1.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate, ManagePreviewBuildsPolicyValue, Registry value created/modified
ID 18.9.102.1.2.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate, DeferFeatureUpdates, Registry value created/modified
ID 18.9.102.1.2.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate, BranchReadinessLevel, Registry value created/modified
ID 18.9.102.1.2.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate, DeferFeatureUpdatesPeriodInDays, Registry value created/modified
ID 18.9.102.1.3.1, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate, DeferQualityUpdates, Registry value created/modified
ID 18.9.102.1.3.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate, DeferQualityUpdatesPeriodInDays, Registry value created/modified
ID 18.9.102.2, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\Au, NoAutoUpdate, Registry value created/modified
ID 18.9.102.3, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\Au, ScheduledInstallDay, Registry value created/modified
ID 18.9.102.4, HKLM:\SOFTWARE\Policies\Microsoft\Windows\WindowsUpdate\Au, NoAutoRebootWithLoggedOnUsers, Registry value created/modified
[*] 25/04/2026 12:07:20 - HardeningKitty is done
